# .test .cputime .temperature .time_mat1 .time_mat2
404 0.416351  9.253 0.005317 0.008440
405 0.417757  8.766 0.005186 0.008581
406 0.419002  7.792 0.005175 0.008631
407 0.420833  9.253 0.005356 0.008615
408 0.420350  8.279 0.005309 0.008741
409 0.420537  8.279 0.005414 0.008720
410 0.421850  8.766 0.005313 0.008750
411 0.423407  8.279 0.005331 0.008834
412 0.425008  8.766 0.005472 0.008826
413 0.425130  8.279 0.005544 0.008969
414 0.426639  7.792 0.005621 0.008906
415 0.428327  8.279 0.005516 0.009046
416 0.429065  7.305 0.005581 0.009072
417 0.429942  7.792 0.005475 0.009123
418 0.431327  9.740 0.005625 0.009239
419 0.434029  8.766 0.005716 0.009240
420 0.433692  7.792 0.005678 0.009269
421 0.433893  9.253 0.005692 0.009276
422 0.433820  8.766 0.005760 0.009359
423 0.436322  8.279 0.005807 0.009339
424 0.435846  9.253 0.005837 0.009460
425 0.437059  8.766 0.005860 0.009466
426 0.439013  8.279 0.005705 0.009700
427 0.439943  8.766 0.005721 0.009855
428 0.441781  9.253 0.005862 0.009714
429 0.442530  8.766 0.005840 0.009621
430 0.443224  9.253 0.005893 0.009782
431 0.444417  9.253 0.005916 0.009813
432 0.445527  8.279 0.006056 0.009823
433 0.445294  9.740 0.005791 0.009954
434 0.446456  8.766 0.005804 0.009917
435 0.447273  8.279 0.006010 0.009921
436 0.448799  8.766 0.005937 0.009941
437 0.449104  8.766 0.005825 0.010014
438 0.450877  8.279 0.006031 0.010200
439 0.450319  9.253 0.005981 0.010221
440 0.452934  9.253 0.005944 0.010150
441 0.454141  8.279 0.005971 0.010197
442 0.455742  8.766 0.006019 0.010262
443 0.456175  9.253 0.006153 0.010334
444 0.455854  9.253 0.006105 0.010381
445 0.457424  9.253 0.005998 0.010435
446 0.458861  8.766 0.006185 0.010547
447 0.459936  8.766 0.006245 0.010969
448 0.459946  9.253 0.006423 0.010536
449 0.463525  9.253 0.006308 0.010661
450 0.463236  9.740 0.006378 0.010767
451 0.465114  8.766 0.006440 0.010677
452 0.465700  8.279 0.006523 0.010833
453 0.467504  9.740 0.006476 0.010800
454 0.468425  9.253 0.006473 0.010951
455 0.468574  9.253 0.006559 0.010921
456 0.469338  9.253 0.006604 0.011050
457 0.470374  9.253 0.006595 0.010956
458 0.471663  9.253 0.006623 0.011150
459 0.475098  8.766 0.006703 0.011120
460 0.474595  9.740 0.006780 0.011273
461 0.475775  8.766 0.006700 0.011291
462 0.474924  8.766 0.006748 0.011393
463 0.477820  9.740 0.006791 0.011348
464 0.477221  8.766 0.006871 0.011514
465 0.478010  9.253 0.006857 0.011461
466 0.479451  9.253 0.006844 0.011667
467 0.481408  9.740 0.006965 0.011630
468 0.488975  8.279 0.006922 0.011522
469 0.482884  8.766 0.006937 0.011675
470 0.484375  9.253 0.007012 0.011746
471 0.484772 10.227 0.007067 0.011794
472 0.486379 10.227 0.007104 0.011748
473 0.487769  8.279 0.007001 0.011963
474 0.488041  9.253 0.007122 0.011981
475 0.489042  9.740 0.007153 0.011994
476 0.490318  9.740 0.007220 0.012142
477 0.492018  9.253 0.007200 0.012000
478 0.492570  9.253 0.007196 0.012174
479 0.493624  9.740 0.007163 0.012244
480 0.494282  9.253 0.007055 0.012320
481 0.496290 10.227 0.007242 0.012365
482 0.496189  9.253 0.007272 0.012319
483 0.497881  9.740 0.007247 0.012301
484 0.498795  8.766 0.007360 0.012373
485 0.496646  9.253 0.007341 0.012548
486 0.499960 10.227 0.007360 0.012488
487 0.499825 10.227 0.007341 0.012679
488 0.503073  8.766 0.007466 0.012748
489 0.503520  9.253 0.007293 0.012821
490 0.503487  9.740 0.007338 0.012882
491 0.504600  8.279 0.007478 0.012836
492 0.506276  9.740 0.007388 0.012984
493 0.507379  9.253 0.007483 0.012974
494 0.508726  9.253 0.007453 0.013031
495 0.509265  9.740 0.007595 0.013077
496 0.510598  9.740 0.007418 0.013318
497 0.512111  8.766 0.007598 0.013100
498 0.513470  9.740 0.007584 0.013293
499 0.512516 10.227 0.007697 0.013246
500 0.516358 10.227 0.007818 0.013292
